Museum,Voucher,Pooled sample,SL,ZW,IO,PC,BW,NL,NW,DT,UTB,MM,MBL,MBH,LT,GM
MZUSP,5945,Minas Gerais,50.1,28.8,15.7,17.1,21.6,15.1,6.5,13.4,7.7,10.8,26.5894249493118,17.9419304803721,7.7,15.64410157
MZUSP,5946,Minas Gerais,48.5,27.4399814525396,15,16.3,20.8,13.9,6.1,12.9,7.4,10.5,24.4,16.5388875923931,7.6,14.88710384
MZUSP,5949,Minas Gerais,48.1437082918213,27.9465303169417,15.4,16.9,21.4192878293231,14.0205082475739,6.1902116255507,12.9,7.6,10.6,23,16.1,7.49704523791631,14.95891745
MZUSP,5948,Minas Gerais,50.7,29.5,16.8,18,21.7,16,7.1,13.1,7.8,10.3290151909042,23.3,15.2,7.4,15.54066799
MZUSP,5942,Minas Gerais,47.6,26.3,15.9,17.1,21,15.1,6.7,12,7.4,10.6,24,16.2,7.3,14.99152329
MZUSP,7071,North of Rio Doce,47,27.2,15,16.8,21,12.9,6.3,12.6,7.3,10.8,24.3,16.9194197929326,7.5,14.83407738
MZUSP,7882,North of Rio Doce,49.0638811035726,28.4,15.6,17,20.7,14.5483526092629,6.29420005213762,13.4,7.3,10.5,25.3,16.9,7.3,15.16600494
MZUSP,3501,Ilhéus,47.2,27.4,15.3,17,21.1,14.1,5.6,12.2,7.4,10,25.5014147847727,16.6632775890489,7.6,14.79960694
MZUSP,3502,Ilhéus,45.8,26.5,15.1,17,20.6,13.6,5.9,12.2081898410733,7.5,11,23,14.8,7.8,14.6062015
MZUSP,2608,Bahia,48.3,27.2,16.1,17.6,21,13.5,6.3,12.7,7.1,9.8,24.9,16.8,7.1,14.87463812
FMNH,20425,Bahia,45.462649299407,25.6,14.7,17.1,20.6,12.9732792393451,5.94015079092898,11.8,7.2,9.7,24,15.9,7.4,14.33646984
FMNH,20427,Bahia,47.2,26.559914499676,15,17.2,21.6,13.6,6.2,12.2,7.2,10.2,24.3,16.6,7.4,14.75814044
FMNH,20428,Bahia,46.3,26.8,15.5771497399935,17.4193338401794,21.0549460625732,14.2,6,12.2,6.7,10.3,23.6,16.4,7.3,14.65386811
FMNH,20430,Bahia,47.6205227871589,26.5404640829837,15.5,17.3,21.2755141764188,13.6,6.4,12.6,7.3,10.2,24.3,15.9,7.6,14.86406827
MZUSP,8282,Alagoas,45.6117582884922,26.5,14.8,16.6,20.6,12.8392626291846,6.2307304250462,11.5,7.6,10.3,22.9,15.9,7.9,14.51300918
MZUSP,7536,Alagoas,44.2,25.8956882311496,15.3,17,20.6,13,6.2,11.3,7.1,9.9,20.9,14.9,7.3,14.12692607
MZUSP,7534,Alagoas,42.6,24.9,14.6,16.1,19.5,11,6,11.2,6.9,10,22,14.6,7.4,13.68320199
MZUSP,7535,Alagoas,46.2,27.2647011285463,16.8,17.1,20.7064635921971,13.5494501601295,7,11.9,7.6,10.4,23.3597037183558,15.9649375407382,7.5,14.95378168
MZUSP,7534.,Alagoas,42.7,25.1,14.6,16.1,19.5,10.8,6.1,11.3,6.9,10,22.3,16.1901535927401,7.4,13.82533498
MZUSP,7533,Alagoas,47.4,27.3,15.7,16.7,21.4,13,6.4,12.2,7.6,10.5,23.1,16.4,7.8,14.86990722
MZUSP,7375,Alagoas,44.9,25.1127708445898,14.6,17.459153662606,20.5715189747208,11.5,5.6,11.1,7.4,10.2,22.7455686311332,15.4,7.5,14.05873927
